country_code,playlist_name,playlist_description,playlist_id,playlist_url,playlist_owner,track_api,tracks_total
KR,Today's Top Hits ,Travis Scott is on top of the Hottest 50!,37i9dQZF1DXcBWIGoYBM5M,https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M,Spotify,https://api.spotify.com/v1/playlists/37i9dQZF1DXcBWIGoYBM5M/tracks,50
KR,K-Pop ON! (온),Turn on the movement with the latest and greatest in K-Pop! Cover: JEON SOMI,37i9dQZF1DX9tPFwDMOaN1,https://open.spotify.com/playlist/37i9dQZF1DX9tPFwDMOaN1,Spotify,https://api.spotify.com/v1/playlists/37i9dQZF1DX9tPFwDMOaN1/tracks,50
KR,바이럴 히트 코리아,"국내 인터넷, SNS, 스포티파이에서 유행하고 있는 노래들을 만나보세요! (커버: 다이나믹 듀오)",37i9dQZF1DX8R890mYSheX,https://open.spotify.com/playlist/37i9dQZF1DX8R890mYSheX,Spotify,https://api.spotify.com/v1/playlists/37i9dQZF1DX8R890mYSheX/tracks,59
KW,New Music Friday Gulf,Worldwide weekly releases curated for the Gulf ! Cover: Assala Nassri & Majid Almohandis,37i9dQZF1DX51I48C1U653,https://open.spotify.com/playlist/37i9dQZF1DX51I48C1U653,Spotify,https://api.spotify.com/v1/playlists/37i9dQZF1DX51I48C1U653/tracks,58
KW,Dreamy Vibes,Hypnotic bliss.,37i9dQZF1DWSiZVO2J6WeI,https://open.spotify.com/playlist/37i9dQZF1DWSiZVO2J6WeI,Spotify,https://api.spotify.com/v1/playlists/37i9dQZF1DWSiZVO2J6WeI/tracks,150
KW,Ballads International,"A collection of the world's best emotional songs. Cover: <a href=""https://open.spotify.com/artist/75opyvDai90a20RL9VSa7D?si=X4txR82FSGuMTgat6fyXQw&dl_branch=1"">Djouher</a>",37i9dQZF1DXaFm6IhSHlyi,https://open.spotify.com/playlist/37i9dQZF1DXaFm6IhSHlyi,Spotify,https://api.spotify.com/v1/playlists/37i9dQZF1DXaFm6IhSHlyi/tracks,150
KW,Sleep,Gentle Ambient piano to help you fall asleep. ,37i9dQZF1DWZd79rJ6a7lp,https://open.spotify.com/playlist/37i9dQZF1DWZd79rJ6a7lp,Spotify,https://api.spotify.com/v1/playlists/37i9dQZF1DWZd79rJ6a7lp/tracks,235
KW,Chill Tracks,"Softer kinda <a href=""spotify:genre:edm_dance"">dance</a>.",37i9dQZF1DX6VdMW310YC7,https://open.spotify.com/playlist/37i9dQZF1DX6VdMW310YC7,Spotify,https://api.spotify.com/v1/playlists/37i9dQZF1DX6VdMW310YC7/tracks,100
KW,Deep Sleep,"Soothing, minimalist ambient for deep sleep.",37i9dQZF1DWYcDQ1hSjOpY,https://open.spotify.com/playlist/37i9dQZF1DWYcDQ1hSjOpY,Spotify,https://api.spotify.com/v1/playlists/37i9dQZF1DWYcDQ1hSjOpY/tracks,328
KW,طرب خليجي,"مجموعة من أروع الأغاني الخليجية الطربية القديمة والجديدة! غلاف: خالد عبد الرحمن
",37i9dQZF1DX5lckay3OqOG,https://open.spotify.com/playlist/37i9dQZF1DX5lckay3OqOG,Spotify,https://api.spotify.com/v1/playlists/37i9dQZF1DX5lckay3OqOG/tracks,41
